,City,Direct_flights_count
561,Quaqtaq,2
562,Quebec,28
563,Quesnel,4
564,Quujjuaq,10
565,Rainbow Lake,2
566,Rankin Inlet,24
567,Red Deer Industrial,3
568,Red Lake,7
569,Regina,16
570,Repulse Bay,3
571,Resolute,2
572,Rigolet,2
573,Round Lake,2
574,Rouyn,5
575,Sachigo Lake,2
576,Sachs Harbour,2
577,Salluit,2
578,Sandspit,1
579,Sandy Lake,3
580,Sanikiluaq,3
581,Sarnia,1
582,Saskatoon,15
583,Sault Sainte Marie,4
584,Schefferville,5
585,Sept-iles,22
586,Sioux Lookout,18
587,Smithers,4
588,Spence Bay,4
589,St-Augustin,4
590,St. Anthony,3
591,St. John,3
592,St. John's,22
593,Stephenville,1
594,Sudbury,6
595,Summer Beaver,1
596,Sydney,2
597,Tasiujaq,2
598,Terrace,5
599,The Pas,5
600,Thompson,6
601,Thunder Bay,13
602,Timmins,5
603,Toronto,333
604,Trail,1
605,Tuktoyaktuk,1
606,Tulita,2
607,Tête-à-la-Baleine,2
608,Umiujaq,3
609,Val D'or,7
610,Vancouver,158
611,Victoria,15
612,Wabush,16
613,Waskaganish,6
614,Waterloo,3
615,Webequie,2
616,Wekweeti,1
617,Wemindji,2
618,Whale Cove,5
619,Whatì,1
620,Whitehorse,5
621,Williams Lake,5
622,Windsor,3
623,Winnipeg,41
624,Wunnumin Lake,3
625,Yellowknife,30
626,Amilcar Cabral,20
627,Boa Vista,12
628,Maio,1
629,"Praia, Santiago Island",17
630,"Sao Filipe, Fogo Island",1
631,Sao Nocolau Island,2
632,Sao Vicente Island,5
633,Cayman Brac,2
634,Georgetown,25
635,Little Cayman,2
636,Bangui,3
637,N'djamena,9
638,Antofagasta,11
639,Arica,5
640,Balmaceda,4
641,Calama,6
642,Castro,1
643,Concepcion,6
644,Copiapo,4
645,Easter Island,2
646,Iquique,9
647,La Serena,7
648,Osorno,1
649,Puerto Montt,10
650,Punta Arenas,7
651,Santiago,79
652,Temuco,3
653,Valdivia,2
654,Aksu,6
655,Altay,2
656,Anqing,7
657,Anshan,3
658,Anshun,4
659,Arxan,1
660,Baise,3
661,Baishan,5
662,Bangda,3
663,Baoshan,2
664,Baotou,29
665,Bayannur,5
666,Beihai,20
667,Beijing,615
668,Bijie,8
669,Bole,1
670,Changcha,189
671,Changchun,64
672,Changde,8
673,Changzhi,16
674,Changzhou,37
675,Chaoyang,3
676,Chengdu,324
677,Chifeng,15
678,Chizhou,7
679,Chongqing,270
680,Dali,7
681,Dalian,142
682,Dandong,5
683,Daocheng,4
684,Daqing,5
685,Datong,11
686,Dayong,21
687,Dazhou,9
688,Dongsheng,25
689,Dongying,6
690,Dunhuang,7
691,Enshi,4
692,Erenhot,2
693,Foshan,2
694,Fuyang,11
695,Fuzhou,133
696,Ganzhou,13
697,Golmud,2
698,Guangyuan,8
699,Guangzhou,338
700,Guilin,107
701,Guiyang,137
702,Haikou,108
703,Hailar,18
704,Hami,10
705,Handan,6
706,Hangzhou,252
707,Harbin,129
708,Hefei,77
709,Heihe,3
710,Hohhot,87
711,Hotan,6
712,Huai An,12
713,Huangshan,26
714,Huangyan,14
715,Jiagedaqi District,4
716,Jiamusi,10
717,Jian,9
718,Jiayuguan,7
719,Jinan,135
720,Jinchuan,6
721,Jingdezhen,16
722,Jinghonggasa,24
723,Jining,10
724,Jinzhou,5
725,Jiujiang,6
726,Jiuzhaigou,16
727,Jixi,6
728,Kangding,1
729,Karamay,2
730,Kashi,13
731,Korla,10
732,Kunming,273
733,Kuqa,2
734,Lanzhou,84
735,Lhasa,30
736,Lianyungang,16
737,Libo,1
738,Lijiang,65
739,Lincang,2
740,Linyi,18
741,Liping,3
742,Liuzhou,14
743,Longyan,1
744,Luoyang,9
745,Luxi,6
746,Luzhou,13
747,Manzhouli,11
748,Meixian,5
749,Mianyang,22
750,Mohe County,3
751,Mudanjiang,10
752,Nanchang,86
753,Nanchong,6
754,Nanjing,165
755,Nanning,114
756,Nanyang,8
757,Ninbo,84
758,Nyingchi,5
759,Panzhihua,4
760,Qianjiang,7
761,Qingdao,188
762,Qingyang,6
763,Qinhuangdao,7
764,Qiqihar,8
765,Quanzhou,44
766,Quzhou,6
767,Sanya,109
768,Shanghai,616
769,Shangri-La,7
770,Shantou,35
771,Shenyang,136
772,Shenzhen,234
773,Shijiazhuang,82
774,Shiquanhe,2
775,Simao,3
776,Tacheng,2
777,Taiyuan,110
778,Tengchong,5
779,Tianjin,147
780,Tongliao,13
781,Tongren,5
782,Ulanhot,7
783,Urumqi,153
784,Wanxian,12
785,Weifang,7
786,Wenzhou,81
787,Wuhai,8
788,Wuhan,187
789,Wuxi,47
790,Wuyishan,15
791,Wuzhou,3
792,Xi'an,283
793,Xiahe city,2
794,Xiamen,233
795,Xiangfan,13
796,Xichang,5
797,Xilinhot,7
798,Xingyi,6
799,Xining,49
800,Xinyuan,2
801,Xuzhou,20
802,Yan'an,5
803,Yancheng,17
804,Yangzhou,18
805,Yanji,14
806,Yantai,56
807,Yibin,10
808,Yichang,24
809,Yichun,6
810,Yinchun,2
811,Yining,4
812,Yiwu,18
813,Yongzhou,3
814,Yulin,12
815,Yuncheng,29
816,Yushu,2
817,Zhangjiakou,2
818,Zhangye,3
819,Zhanjiang,19
820,Zhaotong,3
821,Zhengzhou,174
822,Zhijiang,3
823,Zhongwei,2
824,Zhoushan,13
825,Zhuhai,60
