,Source_airport,Destination_airport
784,ELI,5
785,ELL,1
786,ELM,6
787,ELP,24
788,ELQ,12
789,ELS,5
790,ELU,1
791,ELV,1
792,EMA,95
793,EMD,2
794,EMK,4
795,ENA,3
796,ENE,4
797,ENH,4
798,ENU,3
799,ENY,5
800,EOH,11
801,EOI,1
802,EPR,3
803,EQS,3
804,ERC,3
805,ERF,6
806,ERI,4
807,ERL,2
808,ERM,2
809,ERN,1
810,ERS,3
811,ERZ,5
812,ESB,52
813,ESC,1
814,ESD,1
815,ESL,1
816,ESM,3
817,ESU,3
818,ETH,5
819,ETR,1
820,ETZ,5
821,EUG,14
822,EUN,4
823,EUX,1
824,EVE,9
825,EVG,2
826,EVN,45
827,EVV,9
828,EWB,3
829,EWN,5
830,EWR,253
831,EXI,1
832,EXT,25
833,EYK,4
834,EYP,2
835,EYW,16
836,EZE,75
837,EZS,6
838,FAE,4
839,FAI,27
840,FAO,106
841,FAR,14
842,FAT,20
843,FAV,2
844,FAY,8
845,FBM,10
846,FBS,2
847,FCA,5
848,FCO,330
849,FDE,2
850,FDF,23
851,FDH,13
852,FEG,7
853,FEN,3
854,FEZ,18
855,FIH,27
856,FJR,1
857,FKB,20
858,FKI,2
859,FKL,2
860,FKQ,3
861,FKS,4
862,FLA,2
863,FLG,2
864,FLL,186
865,FLN,21
866,FLO,2
867,FLR,53
868,FLS,1
869,FLW,4
870,FMA,1
871,FMM,23
872,FMN,9
873,FMO,11
874,FNA,22
875,FNC,52
876,FNI,4
877,FNJ,5
878,FNT,14
879,FOC,133
880,FOE,1
881,FON,3
882,FOR,36
883,FPO,15
884,FRA,497
885,FRD,1
886,FRE,2
887,FRO,5
888,FRS,3
889,FRU,45
890,FRW,2
891,FSC,14
892,FSD,13
893,FSM,5
894,FSP,3
895,FSZ,10
896,FTA,2
897,FTE,4
898,FTU,2
899,FUE,97
900,FUG,11
901,FUJ,4
902,FUK,85
903,FUN,1
904,FUO,2
905,FUT,1
906,FVM,1
907,FWA,16
908,FYU,6
909,GAE,2
910,GAF,2
911,GAJ,3
912,GAL,7
913,GAM,4
914,GAN,3
915,GAO,1
916,GAU,31
917,GBB,1
918,GBE,9
919,GBT,6
920,GCC,3
921,GCH,1
922,GCI,18
923,GCK,2
924,GCM,25
925,GCN,1
926,GCW,1
927,GDE,1
928,GDL,93
929,GDN,51
930,GDQ,2
931,GDT,4
932,GDV,1
933,GDX,6
934,GDZ,1
935,GEA,8
936,GEG,15
937,GEL,2
938,GEO,8
939,GES,5
940,GET,3
941,GEV,6
942,GFF,2
943,GFK,5
944,GFN,1
945,GGG,2
946,GGT,10
947,GGW,1
948,GHA,4
949,GHB,4
950,GHE,1
951,GHT,1
952,GIB,6
953,GIG,98
954,GIL,1
955,GIS,2
956,GIU,3
957,GIZ,6
958,GJA,1
959,GJT,8
960,GKA,5
961,GKK,2
962,GLA,100
963,GLF,3
964,GLH,1
965,GLK,4
966,GLN,2
967,GLO,1
968,GLT,4
969,GLV,4
970,GMA,1
971,GMB,2
972,GMO,1
973,GMP,39
974,GMR,1
975,GMZ,1
976,GND,14
977,GNM,1
978,GNU,1
979,GNV,12
980,GNY,5
981,GOA,20
982,GOH,9
983,GOI,29
984,GOJ,18
985,GOM,3
986,GOP,2
987,GOQ,2
988,GOT,52
989,GOU,2
990,GOV,4
991,GPA,3
992,GPB,1
993,GPI,2
994,GPS,2
995,GPT,9
996,GRB,8
997,GRI,4
998,GRJ,5
999,GRK,6
1000,GRO,49
1001,GRP,1
1002,GRQ,6
1003,GRR,28
1004,GRU,193
1005,GRV,1
1006,GRW,1
1007,GRX,9
1008,GRZ,19
1009,GSE,21
1010,GSM,8
1011,GSO,25
1012,GSP,29
1013,GST,3
1014,GTE,4
1015,GTF,7
1016,GTO,4
1017,GTR,3
1018,GUA,37
1019,GUC,1
1020,GUM,35
1021,GUR,6
1022,GUW,10
1023,GVA,166
1024,GVR,1
1025,GWD,3
1026,GWL,1
1027,GWT,8
1028,GXF,5
1029,GXH,2
1030,GYA,1
1031,GYD,64
1032,GYE,35
1033,GYN,21
1034,GYS,8
1035,GZO,4
1036,GZP,6
1037,GZT,9
1038,HAA,2
1039,HAC,1
1040,HAD,6
1041,HAH,10
1042,HAJ,76
1043,HAK,108
1044,HAM,161
1045,HAN,87
1046,HAQ,2
1047,HAS,5
1048,HAU,12
1049,HAV,45
